# h = 0.01
# t   KE   PE   E_total
0 1250 0 1250
0.01 1246.54 3.46355 1250
0.02 1243.08 6.91747 1250
0.03 1239.64 10.3618 1250
0.04 1236.2 13.7964 1250
0.05 1232.78 17.2215 1250
0.06 1229.36 20.6369 1250
0.07 1225.96 24.0427 1250
0.08 1222.56 27.4389 1250
0.09 1219.17 30.8255 1250
0.1 1215.8 34.2024 1250
0.11 1212.43 37.5697 1250
0.12 1209.07 40.9274 1250
0.13 1205.72 44.2755 1250
0.14 1202.39 47.6139 1250
0.15 1199.06 50.9427 1250
0.16 1195.74 54.2619 1250
0.17 1192.43 57.5715 1250
0.18 1189.13 60.8714 1250
0.19 1185.84 64.1618 1250
0.2 1182.56 67.4425 1250
0.21 1179.29 70.7135 1250
0.22 1176.03 73.975 1250
0.23 1172.77 77.2268 1250
0.24 1169.53 80.469 1250
0.25 1166.3 83.7016 1250
0.26 1163.08 86.9245 1250
0.27 1159.86 90.1379 1250
0.28 1156.66 93.3416 1250
0.29 1153.46 96.5357 1250
0.3 1150.28 99.7201 1250
0.31 1147.11 102.895 1250
0.32 1143.94 106.06 1250
0.33 1140.78 109.216 1250
0.34 1137.64 112.362 1250
0.35 1134.5 115.498 1250
0.36 1131.38 118.625 1250
0.37 1128.26 121.742 1250
0.38 1125.15 124.849 1250
0.39 1122.05 127.947 1250
0.4 1118.96 131.035 1250
0.41 1115.89 134.114 1250
0.42 1112.82 137.183 1250
0.43 1109.76 140.242 1250
0.44 1106.71 143.292 1250
0.45 1103.67 146.332 1250
0.46 1100.64 149.363 1250
0.47 1097.62 152.384 1250
0.48 1094.61 155.395 1250
0.49 1091.6 158.396 1250
0.5 1088.61 161.388 1250
0.51 1085.63 164.371 1250
0.52 1082.66 167.344 1250
0.53 1079.69 170.307 1250
0.54 1076.74 173.26 1250
0.55 1073.8 176.204 1250
0.56 1070.86 179.138 1250
0.57 1067.94 182.063 1250
0.58 1065.02 184.978 1250
0.59 1062.12 187.883 1250
0.6 1059.22 190.779 1250
0.61 1056.33 193.665 1250
0.62 1053.46 196.542 1250
0.63 1050.59 199.409 1250
0.64 1047.73 202.266 1250
0.65 1044.89 205.113 1250
0.66 1042.05 207.951 1250
0.67 1039.22 210.78 1250
0.68 1036.4 213.599 1250
0.69 1033.59 216.408 1250
0.7 1030.79 219.207 1250
0.71 1028 221.997 1250
0.72 1025.22 224.777 1250
0.73 1022.45 227.548 1250
0.74 1019.69 230.309 1250
0.75 1016.94 233.061 1250
0.76 1014.2 235.802 1250
0.77 1011.47 238.534 1250
0.78 1008.74 241.257 1250
0.79 1006.03 243.97 1250
0.8 1003.33 246.673 1250
0.81 1000.63 249.367 1250
0.82 997.949 252.051 1250
0.83 995.275 254.725 1250
0.84 992.61 257.39 1250
0.85 989.955 260.045 1250
0.86 987.309 262.691 1250
0.87 984.673 265.327 1250
0.88 982.047 267.953 1250
0.89 979.43 270.57 1250
0.9 976.823 273.177 1250
0.91 974.226 275.774 1250
0.92 971.638 278.362 1250
0.93 969.06 280.94 1250
0.94 966.491 283.509 1250
0.95 963.932 286.068 1250
0.96 961.383 288.617 1250
0.97 958.843 291.157 1250
0.98 956.313 293.687 1250
0.99 953.793 296.207 1250
1 951.282 298.718 1250
1.01 948.781 301.219 1250
1.02 946.289 303.711 1250
1.03 943.807 306.193 1250
1.04 941.335 308.665 1250
1.05 938.872 311.128 1250
1.06 936.419 313.581 1250
1.07 933.976 316.024 1250
1.08 931.542 318.458 1250
1.09 929.118 320.882 1250
1.1 926.703 323.297 1250
1.11 924.298 325.702 1250
1.12 921.903 328.097 1250
1.13 919.517 330.483 1250
1.14 917.141 332.859 1250
1.15 914.775 335.225 1250
1.16 912.418 337.582 1250
1.17 910.071 339.929 1250
1.18 907.733 342.267 1250
1.19 905.405 344.595 1250
1.2 903.087 346.913 1250
1.21 900.778 349.222 1250
1.22 898.479 351.521 1250
1.23 896.19 353.81 1250
1.24 893.91 356.09 1250
1.25 891.64 358.36 1250
1.26 889.379 360.621 1250
1.27 887.128 362.872 1250
1.28 884.887 365.113 1250
1.29 882.655 367.345 1250
1.3 880.433 369.567 1250
1.31 878.22 371.78 1250
1.32 876.018 373.982 1250
1.33 873.824 376.176 1250
1.34 871.641 378.359 1250
1.35 869.467 380.533 1250
1.36 867.302 382.698 1250
1.37 865.148 384.852 1250
1.38 863.003 386.997 1250
1.39 860.867 389.133 1250
1.4 858.741 391.259 1250
1.41 856.625 393.375 1250
1.42 854.518 395.482 1250
1.43 852.421 397.579 1250
1.44 850.334 399.666 1250
1.45 848.256 401.744 1250
1.46 846.188 403.812 1250
1.47 844.13 405.87 1250
1.48 842.081 407.919 1250
1.49 840.041 409.959 1250
1.5 838.012 411.988 1250
1.51 835.992 414.008 1250
1.52 833.981 416.019 1250
1.53 831.981 418.019 1250
1.54 829.99 420.01 1250
1.55 828.008 421.992 1250
1.56 826.036 423.964 1250
1.57 824.074 425.926 1250
1.58 822.121 427.879 1250
1.59 820.178 429.822 1250
1.6 818.245 431.755 1250
1.61 816.321 433.679 1250
1.62 814.407 435.593 1250
1.63 812.502 437.498 1250
1.64 810.607 439.393 1250
1.65 808.722 441.278 1250
1.66 806.847 443.153 1250
1.67 804.981 445.019 1250
1.68 803.124 446.876 1250
1.69 801.277 448.723 1250
1.7 799.44 450.56 1250
1.71 797.613 452.387 1250
1.72 795.795 454.205 1250
1.73 793.986 456.014 1250
1.74 792.188 457.812 1250
1.75 790.399 459.601 1250
1.76 788.619 461.381 1250
1.77 786.85 463.15 1250
1.78 785.089 464.911 1250
1.79 783.339 466.661 1250
1.8 781.598 468.402 1250
1.81 779.867 470.133 1250
1.82 778.145 471.855 1250
1.83 776.433 473.567 1250
1.84 774.73 475.27 1250
1.85 773.038 476.962 1250
1.86 771.354 478.646 1250
1.87 769.681 480.319 1250
1.88 768.017 481.983 1250
1.89 766.363 483.637 1250
1.9 764.718 485.282 1250
1.91 763.083 486.917 1250
1.92 761.457 488.543 1250
1.93 759.842 490.158 1250
1.94 758.235 491.765 1250
1.95 756.639 493.361 1250
1.96 755.052 494.948 1250
1.97 753.475 496.525 1250
1.98 751.907 498.093 1250
1.99 750.349 499.651 1250
2 748.8 501.2 1250
2.01 747.262 502.738 1250
2.02 745.732 504.268 1250
2.03 744.213 505.787 1250
2.04 742.703 507.297 1250
2.05 741.203 508.797 1250
2.06 739.712 510.288 1250
2.07 738.231 511.769 1250
2.08 736.759 513.241 1250
2.09 735.297 514.703 1250
2.1 733.845 516.155 1250
2.11 732.403 517.597 1250
2.12 730.97 519.03 1250
2.13 729.546 520.454 1250
2.14 728.133 521.867 1250
