# mass(kg)   vt(m/s)
0.001  0.313201
0.0012  0.343096
0.00144  0.375838
0.001728  0.41171
0.0020736  0.451004
0.00248832  0.494054
0.00298598  0.541205
0.00358318  0.592861
0.00429982  0.649446
0.00515978  0.711429
0.00619174  0.779334
0.00743008  0.853716
0.0089161  0.935195
0.0106993  1.02446
0.0128392  1.12224
0.015407  1.22935
0.0184884  1.34669
0.0221861  1.47522
0.0266233  1.61602
0.031948  1.77025
0.0383376  1.93922
0.0460051  2.12431
0.0552061  2.32706
0.0662474  2.54916
0.0794968  2.79248
0.0953962  3.059
0.114475  3.35097
0.137371  3.6708
0.164845  4.02116
0.197814  4.40495
0.237376  4.82538
0.284852  5.28594
0.341822  5.79046
0.410186  6.34313
0.492224  6.94855
0.590668  7.61175
0.708802  8.33826
0.850562  9.1341
1.02067  10.0059
1.22481  10.9609
1.46977  12.0071
1.76373  13.1531
2.11647  14.4085
2.53977  15.7837
3.04772  17.2902
3.65726  18.9405
4.38871  20.7482
5.26646  22.7286
6.31975  24.8979
7.5837  27.2743
9.10044  29.8775
